station address,geographic coordinates
Via Gottolengo, POINT(45.3063 10.3193)
Via Teti Secchi, POINT(45.3068 10.3223)
Isorella, POINT(45.3063 10.3193)
Visano, POINT(45.3185 10.3679)
Acquafredda, POINT(45.3164 10.3999)
Remedello, POINT(45.2610 10.4042)
Castel Goffredo, POINT(45.2995 10.4624)
Casaloldo, POINT(45.2553 10.4735)
Nuova Goitese, POINT(45.3575 10.5084)
Via Giuseppe Mazzini, POINT(45.3856 10.4899)
Via Mulini, POINT(45.3876 10.4888)
Via Raffaello, POINT(45.3925 10.4800)
Via Pozza, POINT(45.4142 10.4795)
San Pietro, POINT(45.4332 10.5461)
Pozzolengo, POINT(45.4028 10.6299)
Solferino, POINT(45.3685 10.5650)
Monzambano, POINT(45.3833 10.6910)
Volta Mantova, POINT(45.3205 10.6584)
Guidozzo, POINT(45.3179 10.5836)
Castel Goffredo, POINT(45.2995 10.4624)
Birbesi, POINT(45.2889 10.5839)
Piupega, POINT(45.2418 10.5097)
Goito, POINT(45.2531 10.6755)
Remedello, POINT(45.2610 10.4042)
Medole, POINT(45.3263 10.5124)
